playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,IBB,HBP,SH,SF,GIDP
batesbi01,1990,2,CIN,NL,8,5,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0
bathebi01,1990,1,SFN,NL,52,48,3,11,0,1,3,12,0,0,7,12,0.229,2,0,0,1,2
bautijo01,1990,1,BAL,AL,22,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bearske01,1990,1,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bedrost01,1990,1,SFN,NL,68,4,0,2,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0
belchke01,1990,1,TEX,AL,16,15,4,2,1,0,0,0,0,0,2,6,0.133,0,0,0,0,0
belchti01,1990,1,LAN,NL,24,43,5,7,1,0,0,1,0,0,0,15,0.163,0,2,9,0,1
belinst01,1990,1,PIT,NL,55,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
belleal01,1990,1,CLE,AL,9,23,1,4,0,0,1,3,0,0,1,6,0.174,0,0,1,0,1
bellge02,1990,1,TOR,AL,142,562,67,149,25,0,21,86,3,2,32,80,0.265,7,3,0,11,14
bellira01,1990,1,PIT,NL,47,54,10,11,3,0,0,6,1,2,5,13,0.204,0,1,1,0,2
bellja01,1990,1,PIT,NL,159,583,93,148,28,7,7,52,10,6,65,109,0.254,0,3,39,6,14
bellju01,1990,1,BAL,AL,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bellmi01,1990,1,ATL,NL,36,45,8,11,5,1,1,5,0,1,2,9,0.244,0,1,0,0,4
benesan01,1990,1,SDN,NL,32,60,2,6,1,0,0,2,0,0,2,25,0.1,0,0,5,1,1
benjami01,1990,1,SFN,NL,22,56,7,12,3,1,2,3,1,0,3,10,0.214,1,0,0,0,2
benzito01,1990,1,CIN,NL,118,376,35,95,14,2,5,46,3,4,19,69,0.253,4,4,2,7,3
berenju01,1990,1,MIN,AL,51,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bergmda01,1990,1,DET,AL,100,205,21,57,10,1,2,26,3,2,33,17,0.278,3,0,1,2,7
berroge01,1990,1,ATL,NL,7,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
berryda01,1990,1,CHN,NL,17,53,6,10,4,0,1,9,0,0,5,14,0.189,1,0,0,1,3
berryse01,1990,1,KCA,AL,8,23,2,5,1,1,0,4,0,0,2,5,0.217,0,0,0,0,0
bicheda01,1990,1,CAL,AL,109,349,40,89,15,1,15,53,5,2,16,79,0.255,1,3,1,2,9
bielemi01,1990,1,CHN,NL,36,43,3,7,0,0,0,1,0,0,2,20,0.163,0,0,10,0,0
biggicr01,1990,1,HOU,NL,150,555,53,153,24,2,4,42,25,11,53,79,0.276,1,3,9,1,11
bilarda01,1990,1,PIT,NL,19,37,1,2,0,0,0,3,0,0,4,10,0.054,1,0,2,0,0
birtsti01,1990,1,CIN,NL,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
bitkejo01,1990,1,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bitkejo01,1990,2,TEX,AL,5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
blackbu02,1990,1,CLE,AL,29,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
blackbu02,1990,2,TOR,AL,3,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
blairwi01,1990,1,TOR,AL,27,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
blankke01,1990,1,CHN,NL,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
blankla02,1990,1,OAK,AL,86,136,18,26,3,0,0,10,3,1,20,23,0.191,0,0,6,0,6
blausje01,1990,1,ATL,NL,115,386,46,104,24,3,8,39,3,5,35,70,0.269,1,5,3,0,4
blowemi01,1990,1,NYA,AL,48,144,16,27,4,0,5,21,1,0,12,50,0.188,1,1,0,0,3
blylebe01,1990,1,CAL,AL,23,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
boddimi01,1990,1,BOS,AL,34,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
boevejo01,1990,1,ATL,NL,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boevejo01,1990,2,PHI,NL,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boggswa01,1990,1,BOS,AL,155,619,89,187,44,5,6,63,0,0,87,68,0.302,19,1,0,6,14
bohanbr01,1990,1,TEX,AL,11,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
boltoto01,1990,1,BOS,AL,21,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bondsba01,1990,1,PIT,NL,151,519,104,156,32,3,33,114,52,13,93,83,0.301,15,3,0,6,8
bonilbo01,1990,1,PIT,NL,160,625,112,175,39,7,32,120,4,3,45,103,0.28,9,1,0,15,11
bookegr01,1990,1,SFN,NL,2,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bookero01,1990,1,PHI,NL,73,131,19,29,5,2,0,10,3,1,15,26,0.221,7,0,2,0,7
boonebo01,1990,1,KCA,AL,40,117,11,28,3,0,0,9,1,1,17,12,0.239,0,0,2,0,2
booneda02,1990,1,BAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bordepa01,1990,1,TOR,AL,125,346,36,99,24,2,15,49,0,1,18,57,0.286,2,0,1,3,17
bordimi01,1990,1,OAK,AL,25,14,0,1,0,0,0,0,0,0,1,4,0.071,0,0,0,0,0
bosioch01,1990,1,ML4,AL,20,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
boskish01,1990,1,CHN,NL,15,36,1,8,3,0,0,3,0,0,0,8,0.222,0,0,2,0,0
bosleth01,1990,1,TEX,AL,30,29,3,4,0,0,1,3,1,0,4,7,0.138,1,0,0,0,1
bostoda01,1990,1,CHA,AL,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bostoda01,1990,2,NYN,NL,115,366,65,100,21,2,12,45,18,7,28,50,0.273,2,2,0,0,7
boydoi01,1990,1,MON,NL,31,59,1,3,0,0,0,0,0,0,0,20,0.051,0,0,12,0,1
bradlph01,1990,1,BAL,AL,72,289,39,78,9,1,4,26,10,4,30,35,0.27,2,7,6,1,9
bradlph01,1990,2,CHA,AL,45,133,20,30,5,1,0,5,7,3,20,26,0.226,3,4,5,0,2
bradlsc01,1990,1,SEA,AL,101,233,11,52,9,0,1,28,0,1,15,20,0.223,2,0,3,6,6
bragggl01,1990,1,ML4,AL,37,113,17,28,5,0,3,13,5,3,12,21,0.248,2,3,0,3,1
bragggl01,1990,2,CIN,NL,72,201,22,60,9,1,6,28,3,4,26,43,0.299,1,3,0,1,3
brantje01,1990,1,SFN,NL,55,7,1,2,1,0,0,2,0,0,0,1,0.286,0,0,4,0,0
breamsi01,1990,1,PIT,NL,147,389,39,105,23,2,15,67,8,4,48,65,0.27,5,2,4,5,6
brettge01,1990,1,KCA,AL,142,544,82,179,45,7,14,87,9,2,56,63,0.329,14,0,0,7,18
brewero01,1990,1,SLN,NL,14,25,4,6,1,0,0,2,0,0,0,4,0.24,0,0,0,0,1
brilegr01,1990,1,SEA,AL,125,337,40,83,18,2,5,29,16,4,37,48,0.246,0,1,1,4,6
brockgr01,1990,1,ML4,AL,123,367,42,91,23,0,7,50,4,2,43,45,0.248,9,2,2,8,6
brookhu01,1990,1,LAN,NL,153,568,74,151,28,1,20,91,2,5,33,108,0.266,10,6,0,11,13
brookto01,1990,1,CLE,AL,64,154,18,41,7,2,1,20,0,0,14,25,0.266,1,0,1,3,3
brownje01,1990,1,CLE,AL,140,513,92,137,26,5,6,50,12,7,72,46,0.267,1,2,12,11,12
brownke01,1990,1,TEX,AL,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brownke02,1990,1,CIN,NL,8,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
brownke03,1990,1,NYN,NL,2,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
brownke03,1990,2,ML4,AL,5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
brownma03,1990,1,BAL,AL,9,15,1,3,0,0,0,0,0,0,1,7,0.2,0,0,0,0,1
brownto05,1990,1,CIN,NL,38,75,6,7,2,0,0,4,0,0,2,29,0.093,0,0,9,0,0
brumlmi02,1990,1,SEA,AL,62,147,19,33,5,4,0,7,2,0,10,22,0.224,0,0,4,1,5
brunato01,1990,1,SLN,NL,19,57,5,9,3,0,1,2,0,0,12,10,0.158,0,1,0,1,1
brunato01,1990,2,BOS,AL,129,461,61,123,24,5,15,71,5,10,54,105,0.267,7,3,0,8,12
bucknbi01,1990,1,BOS,AL,22,43,4,8,0,0,1,3,0,0,3,2,0.186,2,0,1,1,1
buechst01,1990,1,TEX,AL,91,251,30,54,10,0,7,30,1,0,27,63,0.215,1,2,7,2,5
buhneja01,1990,1,SEA,AL,51,163,16,45,12,0,7,33,2,2,17,50,0.276,1,4,0,1,6
bulloer01,1990,1,MON,NL,4,2,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
burbada01,1990,1,SEA,AL,6,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
burkejo03,1990,1,SFN,NL,33,63,1,3,0,0,0,3,0,0,5,35,0.048,0,0,8,0,0
burketi01,1990,1,MON,NL,58,6,1,1,0,0,0,0,0,0,1,3,0.167,0,0,0,0,0
burksel01,1990,1,BOS,AL,152,588,89,174,33,8,21,89,9,11,48,82,0.296,4,1,2,2,18
burnsto02,1990,1,OAK,AL,43,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
bushra01,1990,1,MIN,AL,73,181,17,44,8,0,6,18,0,3,21,27,0.243,2,6,0,2,2
butlebr01,1990,1,SFN,NL,160,622,108,192,20,9,3,44,51,19,90,62,0.309,1,6,7,7,3
cabrefr01,1990,1,ATL,NL,63,137,14,38,5,1,7,25,1,0,5,21,0.277,0,0,0,1,4
cadargr01,1990,1,NYA,AL,54,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
caldeiv01,1990,1,CHA,AL,158,607,85,166,44,2,14,74,32,16,51,79,0.273,7,1,0,8,26
camacer01,1990,1,SFN,NL,8,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
camacer01,1990,2,SLN,NL,6,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
caminke01,1990,1,HOU,NL,153,541,52,131,20,2,4,51,9,4,48,97,0.242,7,0,3,4,15
campbji03,1990,1,KCA,AL,2,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
campusi01,1990,1,PHI,NL,66,85,10,18,1,1,2,9,1,0,6,16,0.212,0,1,0,1,1
canalge01,1990,1,ML4,AL,10,13,4,1,1,0,0,0,0,1,2,6,0.077,0,0,0,0,0
candaca01,1990,1,HOU,NL,130,262,30,75,8,6,3,22,7,5,31,42,0.286,5,1,4,0,4
candejo01,1990,1,MIN,AL,34,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
candejo01,1990,2,TOR,AL,13,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
candito01,1990,1,CLE,AL,31,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
cangejo01,1990,1,PIT,NL,58,76,13,15,2,0,0,1,7,2,11,12,0.197,0,1,2,0,2
cansejo01,1990,1,OAK,AL,131,481,83,132,14,2,37,101,19,10,72,158,0.274,8,5,0,5,9
canseoz01,1990,1,OAK,AL,9,19,1,2,1,0,0,1,0,0,1,10,0.105,0,0,0,0,0
capelmi01,1990,1,ML4,AL,2,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
carmado01,1990,1,PHI,NL,59,11,0,3,0,0,0,0,0,0,0,4,0.273,0,0,0,0,0
carpecr01,1990,1,SLN,NL,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrch02,1990,1,NYN,NL,4,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
carrema01,1990,1,NYN,NL,82,188,30,47,12,0,10,26,1,0,15,29,0.25,0,2,0,0,1
cartega01,1990,1,SFN,NL,92,244,24,62,10,0,9,27,1,1,25,31,0.254,3,1,0,2,2
cartejo01,1990,1,SDN,NL,162,634,79,147,27,1,24,115,22,6,48,93,0.232,18,7,0,8,12
cartest01,1990,1,PIT,NL,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0
carych01,1990,1,NYA,AL,28,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
casiala01,1990,1,MIN,AL,5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
castica01,1990,1,MIN,AL,64,137,11,30,4,0,0,12,0,1,3,23,0.219,1,1,0,1,1
castito02,1990,1,ATL,NL,52,7,1,1,0,0,0,0,0,0,1,5,0.143,0,0,2,0,0
cedenan01,1990,1,HOU,NL,7,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ceronri01,1990,1,NYA,AL,49,139,12,42,6,0,2,11,0,0,5,13,0.302,0,0,1,1,4
cerutjo01,1990,1,TOR,AL,30,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
chambwe01,1990,1,PHI,NL,18,46,9,13,3,0,2,4,4,0,1,9,0.283,0,0,0,0,0
charlno01,1990,1,CIN,NL,57,37,4,5,0,0,0,0,0,0,3,21,0.135,0,2,0,0,0
chiamsc01,1990,1,TEX,AL,6,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
chitrst01,1990,1,OAK,AL,8,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
clancji01,1990,1,HOU,NL,33,14,1,3,0,0,0,2,0,0,0,4,0.214,0,0,2,0,1
clarkbr01,1990,1,SEA,AL,12,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
clarkda05,1990,1,CHN,NL,84,171,22,47,4,2,5,20,7,1,8,40,0.275,1,0,0,2,4
clarkja01,1990,1,SDN,NL,115,334,59,89,12,1,25,62,4,3,104,91,0.266,11,2,0,2,12
clarkje01,1990,1,SDN,NL,53,101,12,27,4,1,5,11,0,0,5,24,0.267,0,0,0,1,3
clarkst02,1990,1,SLN,NL,2,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
clarkte01,1990,1,HOU,NL,1,2,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
clarkwi02,1990,1,SFN,NL,154,600,91,177,25,5,19,95,8,2,62,97,0.295,9,3,0,13,7
claryma01,1990,1,ATL,NL,33,28,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,1
clearma01,1990,1,CAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
clemepa01,1990,1,SDN,NL,9,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
clemero02,1990,1,BOS,AL,31,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
coachpe01,1990,1,CAL,AL,16,45,3,14,3,0,0,5,0,1,1,7,0.311,0,2,1,0,1
cochrda01,1990,1,SEA,AL,15,20,0,3,0,0,0,0,0,0,0,8,0.15,0,0,0,0,0
codirch01,1990,1,KCA,AL,6,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
coffmke01,1990,1,CHN,NL,8,5,0,1,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0
coleal01,1990,1,CLE,AL,63,227,43,68,5,4,0,13,40,9,28,38,0.3,0,1,0,0,2
colemvi01,1990,1,SLN,NL,124,497,73,145,18,9,6,39,77,17,35,88,0.292,1,2,4,1,6
colesda01,1990,1,SEA,AL,37,107,9,23,5,1,2,16,0,0,4,17,0.215,1,1,0,1,1
colesda01,1990,2,DET,AL,52,108,13,22,2,0,1,4,0,4,12,21,0.204,1,0,1,1,3
collida02,1990,1,SLN,NL,99,58,12,13,1,0,0,3,7,1,13,10,0.224,2,0,3,0,1
combspa01,1990,1,PHI,NL,32,60,6,9,2,0,0,2,0,0,3,24,0.15,0,0,4,0,0
comstke01,1990,1,SEA,AL,60,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
coneda01,1990,1,NYN,NL,32,70,7,14,1,0,0,5,0,0,5,12,0.2,0,0,9,0,2
coninje01,1990,1,KCA,AL,9,20,3,5,2,0,0,2,0,0,2,5,0.25,0,0,0,0,1
cookde01,1990,1,PHI,NL,43,42,6,13,0,0,1,4,0,0,0,4,0.31,0,0,4,0,2
cookde01,1990,2,LAN,NL,5,7,2,2,1,0,0,0,0,0,0,0,0.286,0,0,0,0,1
coolbsc01,1990,1,TEX,AL,67,180,21,36,6,0,2,13,1,0,15,47,0.2,0,1,4,1,2
coopesc01,1990,1,BOS,AL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
corajo01,1990,1,SDN,NL,51,100,12,27,3,0,0,2,8,3,6,9,0.27,1,0,0,0,1
corbesh01,1990,1,CAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
costejo01,1990,1,SLN,NL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
costejo01,1990,2,MON,NL,4,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
cottohe01,1990,1,SEA,AL,127,355,40,92,14,3,4,33,21,3,22,52,0.259,2,4,6,3,13
crawfst01,1990,1,KCA,AL,46,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
crewsti01,1990,1,LAN,NL,66,7,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0
crimch01,1990,1,ML4,AL,67,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
